origin,crop_url,box,label,score
https://i.pinimg.com/736x/c5/49/db/c549dbe1b433c34def3129a90802d684.jpg,http://localhost:8000/images/d157cb19b0344ddfadcec22d0343315b.jpg,"257,481,488,1083",bottom,0.9318727850914001
https://i.pinimg.com/736x/c5/49/db/c549dbe1b433c34def3129a90802d684.jpg,http://localhost:8000/images/a428980626134621ae7a994966b7d875.jpg,"334,1073,405,1250",outer,0.9260284304618835
https://i.pinimg.com/736x/c5/49/db/c549dbe1b433c34def3129a90802d684.jpg,http://localhost:8000/images/5b37b1c422c143689f458495f0525da6.jpg,"230,201,512,516",top,0.816911518573761
https://i.pinimg.com/736x/c5/49/db/c549dbe1b433c34def3129a90802d684.jpg,http://localhost:8000/images/9b6f9eaf89ec44c0bde5a0ffcbff126f.jpg,"466,646,585,875",bag,0.8094963431358337
https://i.pinimg.com/736x/c5/49/db/c549dbe1b433c34def3129a90802d684.jpg,http://localhost:8000/images/e0bf683b6b7e4b2dba77f978f13a5ded.jpg,"382,1008,409,1130",outer,0.8062764406204224
https://i.pinimg.com/736x/f5/e6/c5/f5e6c521e486cf7014d4bca2f38f0543.jpg,http://localhost:8000/images/ea988c2038954e2ebc5ed8463c07baf2.jpg,"268,868,324,968",outer,0.9222831726074219
https://i.pinimg.com/736x/f5/e6/c5/f5e6c521e486cf7014d4bca2f38f0543.jpg,http://localhost:8000/images/333b2851165046229d493098b96567da.jpg,"518,848,587,975",outer,0.8703076243400574
https://i.pinimg.com/736x/f5/e6/c5/f5e6c521e486cf7014d4bca2f38f0543.jpg,http://localhost:8000/images/4c1cb44c205e43a981997bfbaf2c91d0.jpg,"251,68,444,260",top,0.594528079032898
https://i.pinimg.com/736x/f5/e6/c5/f5e6c521e486cf7014d4bca2f38f0543.jpg,http://localhost:8000/images/2671516714804b0b98fbfd408ccd8ac0.jpg,"88,242,572,862",bottom,0.5589197278022766
https://i.pinimg.com/736x/4c/03/6f/4c036f5f6296fd3dfb667ccec06deb38.jpg,http://localhost:8000/images/678268b3872a424e8174c7597836118d.jpg,"159,226,279,548",bag,0.9049412608146667
https://i.pinimg.com/736x/4c/03/6f/4c036f5f6296fd3dfb667ccec06deb38.jpg,http://localhost:8000/images/4f1fdd82f2204977882142a5ae407632.jpg,"164,206,384,475",top,0.8676958680152893
https://i.pinimg.com/736x/4c/03/6f/4c036f5f6296fd3dfb667ccec06deb38.jpg,http://localhost:8000/images/61723ab38b254d939e714562cb9cecb2.jpg,"393,861,508,948",outer,0.8611668944358826
https://i.pinimg.com/736x/4c/03/6f/4c036f5f6296fd3dfb667ccec06deb38.jpg,http://localhost:8000/images/5cb819b3f79449d2854fbc7f448601d5.jpg,"26,404,429,840",bottom,0.8279886245727539
https://i.pinimg.com/736x/4c/03/6f/4c036f5f6296fd3dfb667ccec06deb38.jpg,http://localhost:8000/images/c5779058285f4389957b8d6e39be91dc.jpg,"138,841,243,931",outer,0.8228762745857239
https://i.pinimg.com/736x/81/be/e1/81bee1f8c31169c09a11ef53b6331926.jpg,http://localhost:8000/images/5b66d2b6ad6844deb752d0a0bd40bb96.jpg,"75,580,124,655",outer,0.9158331155776978
https://i.pinimg.com/736x/81/be/e1/81bee1f8c31169c09a11ef53b6331926.jpg,http://localhost:8000/images/fd3166a368ac4cb883f7dcccdf50b32f.jpg,"102,138,288,554",dress,0.8419493436813354
https://i.pinimg.com/736x/81/be/e1/81bee1f8c31169c09a11ef53b6331926.jpg,http://localhost:8000/images/fe3cad88e4cc40998de100d517ab64e8.jpg,"242,635,320,678",outer,0.8033022284507751
https://i.pinimg.com/736x/81/be/e1/81bee1f8c31169c09a11ef53b6331926.jpg,http://localhost:8000/images/14d948f5eebb479babde4985e1b694f1.jpg,"98,134,283,215",top,0.4968193471431732
https://i.pinimg.com/736x/e8/af/47/e8af479b7135fb069ae93dd3c4ea6ad1.jpg,http://localhost:8000/images/3626a21ab3124a64bda6946aedf3275a.jpg,"20,229,197,338",bottom,0.6607763171195984
https://i.pinimg.com/736x/47/a8/f3/47a8f38a1d6e999286db57d45fd8f10a.jpg,http://localhost:8000/images/bae095d3e9ce47fbb6f613f44daebc17.jpg,"141,244,273,616",bag,0.9049566388130188
https://i.pinimg.com/736x/47/a8/f3/47a8f38a1d6e999286db57d45fd8f10a.jpg,http://localhost:8000/images/6908e0dd252542e0bbcb0b32f4e2cae2.jpg,"423,941,480,1087",outer,0.6456263661384583
https://i.pinimg.com/736x/47/a8/f3/47a8f38a1d6e999286db57d45fd8f10a.jpg,http://localhost:8000/images/9317b5ea2b6f4bb78820ada093613bd9.jpg,"283,894,345,1025",outer,0.5418533086776733
https://i.pinimg.com/736x/47/a8/f3/47a8f38a1d6e999286db57d45fd8f10a.jpg,http://localhost:8000/images/8f8d001c375147d4a27f829ebfab2635.jpg,"127,242,608,508",shoes,0.47025266289711
https://i.pinimg.com/736x/24/a9/09/24a9095af4ad54b4e4a1f2cd7fdab2a2.jpg,http://localhost:8000/images/c108302745d34ab7939c570c777cff8b.jpg,"92,415,381,1230",bottom,0.9333710670471191
https://i.pinimg.com/736x/24/a9/09/24a9095af4ad54b4e4a1f2cd7fdab2a2.jpg,http://localhost:8000/images/8a9f454f0c9c44aa9f79d21e2cc7c01d.jpg,"451,938,686,1227",outer,0.7170685529708862
https://i.pinimg.com/736x/24/a9/09/24a9095af4ad54b4e4a1f2cd7fdab2a2.jpg,http://localhost:8000/images/4b1c64b3d96b48b98944e729aa2ba103.jpg,"429,621,713,819",bag,0.5724111795425415
https://i.pinimg.com/736x/24/a9/09/24a9095af4ad54b4e4a1f2cd7fdab2a2.jpg,http://localhost:8000/images/1429b979f92e4e51b28f5590696bd3e2.jpg,"114,94,356,413",shoes,0.5589885115623474
https://i.pinimg.com/736x/b0/94/3b/b0943b59595539f8aa79b5110c11218d.jpg,http://localhost:8000/images/0ad33cb1da354f34adfd8838e30a41c2.jpg,"372,1120,396,1205",outer,0.9445780515670776
https://i.pinimg.com/736x/b0/94/3b/b0943b59595539f8aa79b5110c11218d.jpg,http://localhost:8000/images/a0891d906eb54e05b602239f08b30eb5.jpg,"317,1232,378,1278",outer,0.8811272382736206
https://i.pinimg.com/736x/b0/94/3b/b0943b59595539f8aa79b5110c11218d.jpg,http://localhost:8000/images/4fa857930fd8486594ef109566736339.jpg,"205,539,436,1246",bottom,0.8640611171722412
https://i.pinimg.com/736x/b0/94/3b/b0943b59595539f8aa79b5110c11218d.jpg,http://localhost:8000/images/de5e770b76bb483e9f2c2bb43aebd587.jpg,"184,246,507,554",top,0.7801709771156311
https://i.pinimg.com/736x/b0/94/3b/b0943b59595539f8aa79b5110c11218d.jpg,http://localhost:8000/images/4974229a0b5b423393d05e65c4362d6c.jpg,"102,682,228,961",bag,0.727540135383606
https://i.pinimg.com/736x/47/aa/d0/47aad08c0818a4208462edc36b2e9bd4.jpg,http://localhost:8000/images/3ea919fa0e4c49ae93b27d14b99eac4b.jpg,"353,876,505,908",outer,0.8938478827476501
https://i.pinimg.com/736x/47/aa/d0/47aad08c0818a4208462edc36b2e9bd4.jpg,http://localhost:8000/images/cc675de78dd643f583ed69d1b553d59d.jpg,"298,329,493,884",bottom,0.8253640532493591
https://i.pinimg.com/736x/47/aa/d0/47aad08c0818a4208462edc36b2e9bd4.jpg,http://localhost:8000/images/d5a307885d314f7ea1d9d064f6a1ad47.jpg,"271,825,349,859",outer,0.8243021965026855
https://i.pinimg.com/736x/47/aa/d0/47aad08c0818a4208462edc36b2e9bd4.jpg,http://localhost:8000/images/7fc900a464324187852855e7c5b5e72c.jpg,"272,19,506,454",top,0.7648065686225891
https://i.pinimg.com/736x/77/13/75/771375e61209a13ed4825a65eb5cd06a.jpg,http://localhost:8000/images/2001b7965f9e4e60927ccc8c0d43ac86.jpg,"453,942,500,1033",outer,0.9190261363983154
https://i.pinimg.com/736x/77/13/75/771375e61209a13ed4825a65eb5cd06a.jpg,http://localhost:8000/images/4d15858e668640fa9253d7064700863b.jpg,"239,974,314,1048",outer,0.915523111820221
https://i.pinimg.com/736x/77/13/75/771375e61209a13ed4825a65eb5cd06a.jpg,http://localhost:8000/images/df761e91b82443828944925a2ab9e549.jpg,"169,627,327,799",bag,0.8041301965713501
https://i.pinimg.com/736x/77/13/75/771375e61209a13ed4825a65eb5cd06a.jpg,http://localhost:8000/images/116e50333ee649c88fa43f5fb69b8aea.jpg,"226,402,493,937",bottom,0.7810326218605042
https://i.pinimg.com/736x/77/13/75/771375e61209a13ed4825a65eb5cd06a.jpg,http://localhost:8000/images/692234285a5643c6a54b28cfdb62b41e.jpg,"224,211,468,562",top,0.6879836916923523
https://i.pinimg.com/736x/77/13/75/771375e61209a13ed4825a65eb5cd06a.jpg,http://localhost:8000/images/812eb691ab024b83bb29bea22f336ecf.jpg,"173,227,484,482",shoes,0.4587914049625397
https://i.pinimg.com/736x/62/94/9b/62949bc7ebbce4cfa40e9dd659550aaa.jpg,http://localhost:8000/images/5ad5b839552f4ca6b716985a7ea26336.jpg,"343,946,403,1087",outer,0.9418080449104309
https://i.pinimg.com/736x/62/94/9b/62949bc7ebbce4cfa40e9dd659550aaa.jpg,http://localhost:8000/images/3e0f0bedf5624db4bb6b8533562cfb65.jpg,"184,173,557,1071",dress,0.928598940372467
https://i.pinimg.com/736x/00/27/9b/00279b5a3d351e8682ecd6ab79e6983e.jpg,http://localhost:8000/images/8d6746b9228c400290c455a6b2432007.jpg,"95,272,214,578",bottom,0.7789232730865479
https://i.pinimg.com/736x/00/27/9b/00279b5a3d351e8682ecd6ab79e6983e.jpg,http://localhost:8000/images/bc16d71e41f249e48755ffc704ea2a8b.jpg,"127,580,165,634",outer,0.6821194291114807
https://i.pinimg.com/736x/00/27/9b/00279b5a3d351e8682ecd6ab79e6983e.jpg,http://localhost:8000/images/7fea7e2fa7b9485a994bab060aac9602.jpg,"169,550,205,627",outer,0.6431365609169006
https://i.pinimg.com/736x/00/27/9b/00279b5a3d351e8682ecd6ab79e6983e.jpg,http://localhost:8000/images/bbbfe63dda844781bbde2a8853d2410b.jpg,"45,270,116,378",bag,0.6340428590774536
https://i.pinimg.com/736x/00/27/9b/00279b5a3d351e8682ecd6ab79e6983e.jpg,http://localhost:8000/images/5e9be7fd2b774df2943ce04ccea610ea.jpg,"269,34,330,82",hat,0.5524113774299622
https://i.pinimg.com/736x/00/27/9b/00279b5a3d351e8682ecd6ab79e6983e.jpg,http://localhost:8000/images/57077f585b8f45f39a4e0adb590047b2.jpg,"297,115,336,284",top,0.49256056547164917
https://i.pinimg.com/736x/7f/6c/c6/7f6cc6b49994ea3fa9e073ec09b85f8f.jpg,http://localhost:8000/images/b9253761b2344f39b0244f62a663d0e8.jpg,"135,594,355,1175",bottom,0.9341612458229065
https://i.pinimg.com/736x/7f/6c/c6/7f6cc6b49994ea3fa9e073ec09b85f8f.jpg,http://localhost:8000/images/ee4914340fa045699bff1dae9a213c16.jpg,"183,1160,244,1222",outer,0.8777498602867126
https://i.pinimg.com/736x/7f/6c/c6/7f6cc6b49994ea3fa9e073ec09b85f8f.jpg,http://localhost:8000/images/ab0bcb565d814f7c99918057520bf77e.jpg,"243,1167,306,1231",outer,0.8610233664512634
https://i.pinimg.com/736x/7f/6c/c6/7f6cc6b49994ea3fa9e073ec09b85f8f.jpg,http://localhost:8000/images/64bef5b6e9d54a918077f98776040cd1.jpg,"86,367,347,675",top,0.8505882024765015
https://i.pinimg.com/736x/b0/f1/72/b0f172fee313c97a7e5c7dc2a813a7a0.jpg,http://localhost:8000/images/bf7603eb18a04b5c9e61e20261282217.jpg,"317,454,551,1055",bottom,0.9195409417152405
https://i.pinimg.com/736x/b0/f1/72/b0f172fee313c97a7e5c7dc2a813a7a0.jpg,http://localhost:8000/images/262d3a35714741a6a9c5c726bb0a3ba1.jpg,"335,1059,413,1214",outer,0.9112467765808105
https://i.pinimg.com/736x/b0/f1/72/b0f172fee313c97a7e5c7dc2a813a7a0.jpg,http://localhost:8000/images/b4295abf52e2462185b7879c3e9b920e.jpg,"402,1050,469,1199",outer,0.8887799978256226
https://i.pinimg.com/736x/b0/f1/72/b0f172fee313c97a7e5c7dc2a813a7a0.jpg,http://localhost:8000/images/f46fefa2eef84f6eae23a85ce7326d2a.jpg,"330,239,512,468",top,0.7405800223350525
https://i.pinimg.com/736x/b0/f1/72/b0f172fee313c97a7e5c7dc2a813a7a0.jpg,http://localhost:8000/images/3eddf9ff843c4d4b83bdf8a5c6562eb1.jpg,"233,247,337,659",bag,0.6067203879356384
https://i.pinimg.com/736x/73/fa/5d/73fa5d1271a69a09b33d842e471f5458.jpg,http://localhost:8000/images/aec17ea76d234ca8830f3fe35cc38dd0.jpg,"185,982,241,1027",outer,0.8727850914001465
https://i.pinimg.com/736x/73/fa/5d/73fa5d1271a69a09b33d842e471f5458.jpg,http://localhost:8000/images/7b0b82f6040e41b1b7fee7cc4e2a999d.jpg,"139,393,371,993",bottom,0.8085614442825317
https://i.pinimg.com/736x/73/fa/5d/73fa5d1271a69a09b33d842e471f5458.jpg,http://localhost:8000/images/a7caf380a91341cd94c6e935631f5a29.jpg,"308,352,389,543",bag,0.7616437673568726
https://i.pinimg.com/736x/73/fa/5d/73fa5d1271a69a09b33d842e471f5458.jpg,http://localhost:8000/images/2dcaa120d19e47449116ca5d24d95447.jpg,"186,289,308,422",top,0.7268072366714478
https://i.pinimg.com/736x/10/de/55/10de5525ba041c4670814dcb3cdd5596.jpg,http://localhost:8000/images/cd447686af934ed69f32ec206c08bcca.jpg,"196,594,406,1102",bottom,0.9407927989959717
https://i.pinimg.com/736x/10/de/55/10de5525ba041c4670814dcb3cdd5596.jpg,http://localhost:8000/images/1d54dc9201254a4a8fbbd27dd92d907f.jpg,"349,735,495,989",bag,0.9153330326080322
https://i.pinimg.com/736x/10/de/55/10de5525ba041c4670814dcb3cdd5596.jpg,http://localhost:8000/images/c8a893a9596345548d670fb3377cdc9b.jpg,"225,389,396,608",top,0.8034771680831909
https://i.pinimg.com/736x/10/de/55/10de5525ba041c4670814dcb3cdd5596.jpg,http://localhost:8000/images/bb17c5f1e50d4810bf36d1d46aad57b4.jpg,"174,374,395,587",shoes,0.5414152145385742
https://i.pinimg.com/736x/25/ae/62/25ae623c99c07b12c1a35a2dbb89be75.jpg,http://localhost:8000/images/0960d216237b4c3a999a93c0d9897e1f.jpg,"265,646,529,1208",bottom,0.9324291348457336
https://i.pinimg.com/736x/25/ae/62/25ae623c99c07b12c1a35a2dbb89be75.jpg,http://localhost:8000/images/1c8e97d8f85a470f87b5b60270b4daf0.jpg,"393,1159,470,1247",outer,0.9187305569648743
https://i.pinimg.com/736x/25/ae/62/25ae623c99c07b12c1a35a2dbb89be75.jpg,http://localhost:8000/images/bf5c45e3eec44669a14bbd05b3ea4290.jpg,"209,1192,365,1262",outer,0.8669264912605286
https://i.pinimg.com/736x/25/ae/62/25ae623c99c07b12c1a35a2dbb89be75.jpg,http://localhost:8000/images/bfc184885d6b436a8449070b322a0dfa.jpg,"248,379,372,772",bag,0.835089921951294
https://i.pinimg.com/736x/25/ae/62/25ae623c99c07b12c1a35a2dbb89be75.jpg,http://localhost:8000/images/23e4258f837a45b2861f0736d07707ff.jpg,"242,374,625,689",top,0.41132742166519165
https://i.pinimg.com/736x/4d/00/90/4d0090c9a56426412303cd7debf328c9.jpg,http://localhost:8000/images/8a2a094a4f43419c820662724e37874a.jpg,"120,488,396,1281",bottom,0.8028661608695984
https://i.pinimg.com/736x/4d/00/90/4d0090c9a56426412303cd7debf328c9.jpg,http://localhost:8000/images/e180059520da4c86885586002f0e3422.jpg,"0,713,167,986",bag,0.7974889874458313
https://i.pinimg.com/736x/4d/00/90/4d0090c9a56426412303cd7debf328c9.jpg,http://localhost:8000/images/efbea963ad374e7d94396f371d0d1151.jpg,"256,1274,333,1305",outer,0.7560274004936218
https://i.pinimg.com/736x/4d/00/90/4d0090c9a56426412303cd7debf328c9.jpg,http://localhost:8000/images/f26bddc2b2404715afab7221e683b290.jpg,"42,283,461,621",top,0.5066395998001099
https://i.pinimg.com/736x/5a/c6/46/5ac64610b13f9cd654f8e08d152cd7a2.jpg,http://localhost:8000/images/5d9ff8ab5837408f9915999b6a2a09db.jpg,"260,413,560,914",dress,0.9095742702484131
https://i.pinimg.com/736x/22/3c/ad/223cad129163334c4af13f5cf9533e9b.jpg,http://localhost:8000/images/9db0e892d8ce4e699076c3aeb92cfd3f.jpg,"421,780,483,924",outer,0.8724009394645691
https://i.pinimg.com/736x/22/3c/ad/223cad129163334c4af13f5cf9533e9b.jpg,http://localhost:8000/images/e475e273fde04f9a85af860e6fee8d9c.jpg,"273,809,346,968",outer,0.8416898250579834
https://i.pinimg.com/736x/22/3c/ad/223cad129163334c4af13f5cf9533e9b.jpg,http://localhost:8000/images/301aad50333f4ec8b02154a4a0eaebf2.jpg,"311,414,585,617",bottom,0.8113856315612793
https://i.pinimg.com/736x/22/3c/ad/223cad129163334c4af13f5cf9533e9b.jpg,http://localhost:8000/images/e4d1dcd662cd41aeb320c29b943c9046.jpg,"302,602,442,826",bottom,0.7845792174339294
https://i.pinimg.com/736x/22/3c/ad/223cad129163334c4af13f5cf9533e9b.jpg,http://localhost:8000/images/5cd76a4a24a746edaf66d069d8155e64.jpg,"442,599,540,796",bottom,0.7752200365066528
https://i.pinimg.com/736x/b8/5f/95/b85f9583f7b42d803d693bacfdbb1891.jpg,http://localhost:8000/images/1015eceadc894b6786320baa0b9861c3.jpg,"295,1212,383,1305",outer,0.9064189195632935
https://i.pinimg.com/736x/b8/5f/95/b85f9583f7b42d803d693bacfdbb1891.jpg,http://localhost:8000/images/d3ef64f8dd5a412ca1c0b6a08ce9ede6.jpg,"118,554,511,1230",bottom,0.8837926387786865
https://i.pinimg.com/736x/b8/5f/95/b85f9583f7b42d803d693bacfdbb1891.jpg,http://localhost:8000/images/d51da5fe15e9411b916c277bb8e21146.jpg,"249,540,437,961",bag,0.8708049654960632
https://i.pinimg.com/736x/b8/5f/95/b85f9583f7b42d803d693bacfdbb1891.jpg,http://localhost:8000/images/716bea5ac77849dd939585596e3a80e1.jpg,"177,323,511,604",top,0.80299973487854
https://i.pinimg.com/736x/b8/5f/95/b85f9583f7b42d803d693bacfdbb1891.jpg,http://localhost:8000/images/f44b7a0149274c9f95ecefa77c8ce278.jpg,"442,1113,473,1143",outer,0.6295744180679321
https://i.pinimg.com/736x/24/42/2a/24422a61bae9c35a7e84ff614dc5bfde.jpg,http://localhost:8000/images/be6dfb3058ea4639873b80fd033e44a8.jpg,"258,476,483,1086",bottom,0.9516600966453552
https://i.pinimg.com/736x/24/42/2a/24422a61bae9c35a7e84ff614dc5bfde.jpg,http://localhost:8000/images/12fafd85226d4362ada49bb775031a19.jpg,"229,212,529,523",top,0.8618948459625244
https://i.pinimg.com/736x/24/42/2a/24422a61bae9c35a7e84ff614dc5bfde.jpg,http://localhost:8000/images/7b77f8718ef34b68b72233c76670c443.jpg,"347,1133,407,1274",outer,0.8741376996040344
https://i.pinimg.com/736x/24/42/2a/24422a61bae9c35a7e84ff614dc5bfde.jpg,http://localhost:8000/images/988d71e1e3e3441ebf7567f07d83515b.jpg,"325,1060,405,1173",outer,0.9037163853645325
https://i.pinimg.com/736x/24/42/2a/24422a61bae9c35a7e84ff614dc5bfde.jpg,http://localhost:8000/images/f7716d94078e450daddf1b428725fce6.jpg,"445,652,607,881",bag,0.5455120205879211
https://i.pinimg.com/736x/81/05/32/810532ced91eb30a814bc2a0d0a6d4f4.jpg,http://localhost:8000/images/29f3b20f99a84d94ae2be21068295e78.jpg,"239,489,554,1317",bottom,0.8819414973258972
https://i.pinimg.com/736x/81/05/32/810532ced91eb30a814bc2a0d0a6d4f4.jpg,http://localhost:8000/images/52887b6dbd674202bac1b34d92a1d01b.jpg,"228,234,605,569",top,0.8437498211860657
https://i.pinimg.com/736x/81/05/32/810532ced91eb30a814bc2a0d0a6d4f4.jpg,http://localhost:8000/images/8002c1fb6c384a0690bd4a807c6bdaef.jpg,"489,678,657,949",bag,0.769216001033783
https://i.pinimg.com/736x/62/0a/0d/620a0d924e435809459334f3ea0a1074.jpg,http://localhost:8000/images/39d7c25584ef47e3aed5fbecf41119bd.jpg,"453,712,528,913",bag,0.9192731380462646
https://i.pinimg.com/736x/62/0a/0d/620a0d924e435809459334f3ea0a1074.jpg,http://localhost:8000/images/ffd2ad367f36465abaf064494b59704a.jpg,"246,589,490,1073",bottom,0.9055710434913635
