Category,Count,Original Top-1,Reranked Top-1,Original Top-3,Reranked Top-3,Original NDCG@5,Reranked NDCG@5,Kendall Tau,Top-1 Improvement,Top-3 Improvement,NDCG@5 Improvement
outer,52,0.7307692307692307,0.7307692307692307,0.9038461538461539,0.9230769230769231,0.8661096774955926,0.8653000353361626,-0.01923076923076923,0.0,2.12765957446809,-0.0934803270841116
shoes,14,0.7142857142857143,0.42857142857142855,0.9285714285714286,0.8571428571428571,0.8777372098361906,0.7277164892418362,0.1142857142857143,-40.0,-7.692307692307701,-17.09175809264738
bag,14,0.7142857142857143,0.6428571428571429,1.0,0.8571428571428571,0.8658065901196402,0.8183563115481085,0.1142857142857143,-9.999999999999995,-14.28571428571429,-5.480470940395
bottom,13,0.7692307692307693,0.5384615384615384,0.9230769230769231,0.7692307692307693,0.8944174269692484,0.7519230106136773,0.16923076923076924,-30.000000000000004,-16.666666666666664,-15.931533986140717
top,9,0.7777777777777778,0.5555555555555556,0.8888888888888888,0.7777777777777778,0.8889638491958541,0.7554226693793497,0.1111111111111111,-28.57142857142857,-12.499999999999993,-15.022115909134461
dress,4,1.0,0.5,1.0,0.75,1.0,0.7654015779112127,0.3,-50.0,-25.0,-23.459842208878733
hat,4,0.5,0.25,0.75,1.0,0.7594434342604186,0.70312751246564,0.1,-50.0,33.33333333333333,-7.415420195135624
